beta,gamma,yearly_I
0,-15,58024.112205076606
0,-14,58024.112205076606
0,-13,58024.112205076606
0,-12,58024.112205076606
0,-11,58024.112205076606
0,-10,58024.112205076606
0,-9,58024.112205076606
0,-8,58024.112205076606
0,-7,58024.112205076606
0,-6,58024.112205076606
0,-5,58024.112205076606
0,-4,58024.112205076606
0,-3,58024.112205076606
0,-2,58024.112205076606
0,-1,58024.112205076606
0,0,58024.112205076606
0,1,58024.112205076606
0,2,58024.112205076606
0,3,58024.112205076606
0,4,58024.112205076606
0,5,58024.112205076606
0,6,58024.112205076606
0,7,58024.112205076606
0,8,58024.112205076606
0,9,58024.112205076606
0,10,58024.112205076606
0,11,58024.112205076606
0,12,58024.112205076606
0,13,58024.112205076606
0,14,58024.112205076606
0,15,58024.112205076606
0,16,58024.112205076606
0,17,58024.112205076606
0,18,58024.112205076606
0,19,58024.112205076606
0,20,58024.112205076606
0,21,58024.112205076606
0,22,58024.112205076606
0,23,58024.112205076606
0,24,58024.112205076606
0,25,58024.112205076606
0,26,58024.112205076606
0,27,58024.112205076606
0,28,58024.112205076606
0,29,58024.112205076606
0,30,58024.112205076606
0,31,58024.112205076606
0,32,58024.112205076606
0,33,58024.112205076606
0,34,58024.112205076606
0,35,58024.112205076606
0,36,58024.112205076606
0,37,58024.112205076606
0,38,58024.112205076606
0,39,58024.112205076606
0,40,58024.112205076606
0,41,58024.112205076606
0,42,58024.112205076606
0,43,58024.112205076606
0,44,58024.112205076606
0,45,58024.112205076606
0,46,58024.112205076606
0,47,58024.112205076606
0,48,58024.112205076606
0,49,58024.112205076606
0,50,58024.112205076606
0,51,58024.112205076606
0,52,58024.112205076606
0,53,58024.112205076606
0,54,58024.112205076606
0,55,58024.112205076606
0,56,58024.112205076606
0,57,58024.112205076606
0,58,58024.112205076606
0,59,58024.112205076606
0,60,58024.112205076606
0,61,58024.112205076606
0,62,58024.112205076606
0,63,58024.112205076606
0,64,58024.112205076606
0,65,58024.112205076606
0,66,58024.112205076606
0,67,58024.112205076606
0,68,58024.112205076606
